stars_period
1067
118
226
250
67
109
141
282
66
231
125
129
65
107
196
222
112
62
2288
1082
510
336
7513
173
196
421
438
260
111
249
63
155
81
297
451
1772
3388
13755
2126
2197
2445
2825
1774
1178
3369
2341
1160
5309
1403
3497
3991
1159
30879
1067
250
141
66
231
129
65
222
77
61
45
40
14
19
3
10
32
2288
1082
510
7513
155
451
332
49
312
457
1020
73
38
219
289
347
195
623
3388
13755
2825
1774
3369
5309
3991
1159
30879
1373
1553
457
496
934
901
645
342
1453
301
362
103
797
107
8
55
3
80
108
98
6
33
10
4
6
17
40
14
100
600
72
632
129
130
182
131
137
137
58
13
33
525
58
178
2173
901
907
2694
2296
1691
2443
1423
405
615
208
439
1005
675
163
166
84
163
61
125
196
21
14
20
160
9
76
19
15
78
47
5
102
14
17
5
336
260
249
1308
104
169
985
516
119
17
1199
73
101
69
833
478
135
1772
2445
2341
1160
3463
2655
573
278
1509
567
2606
202
4528
264
294
720
1315
1784
964
2530
8130
4
18
2
10
35
5
0
12
13
4
6
12
4
2
12
6
13
6
297
154
66
14
26
116
206
27
31
150
107
17
55
124
30
119
19
40
45
35
27
7
289
869
151
709
191
871
54
388
553
68
127
127
722
978
59
140
1596
562
147
94
174
173
196
421
438
111
63
81
163
489
44
59
18
69
131
31
48
178
25
48
3
37
160
1178
3497
658
962
870
607
1253
1016
1160
593
1866
635
269
218
84
577
794
339
520
730
644
176
15
3
8
48
7
66
9
9
16
14
12
12
14
0
14
8
56
97
9
21
3
40
142
40
53
112
77
347
34
23
62
41
124
83
24
62
109
96
291
46
2126
968
209
890
1067
816
519
539
913
565
358
174
370
2008
487
947
149
1173
249
1185
144
723
287
769
337
62
24
8
6
4
10
5
9
14
13
3
12
4
8
5
8
12
6
1
6
8
5
2
397
175
90
45
37
12
29
65
49
202
19
14
121
35
108
109
124
33
143
80
1403
1122
174
962
335
430
2408
274
302
36
142
341
300
905
705
1081
114
110
306
520
81
6
15
0
7
4
18
2
15
3
5
13
2
1
3
1
18
1
3
3
49
26
260
30
42
18
75
8
59
14
32
12
96
96
20
12
58
51
761
261
278
373
378
653
142
108
373
90
120
109
214
318
115
470
52
223
345
110
556
215
391
6
15
0
7
4
18
2
15
3
5
13
2
1
3
1
18
1
3
3
6
15
0
7
4
18
2
15
3
5
13
2
1
3
1
18
1
3
3
6
15
0
7
4
18
2
15
3
5
13
2
1
3
1
18
1
3
3
21
30
2
18
7
1
26
54
0
0
14
2
3
1
4
2
1
2
2
2
1
1
308
124
25
7
15
20
142
131
29
37
102
24
13
43
42
24
7
72
74
84
89
119
92
67
56
87
212
294
28
79
123
63
306
41
59
34
1016
985
747
21
13
0
